Datetime,PJME_MW
2002-01-01,31075.399730820995
2002-02-01,30239.166666666668
2002-03-01,28875.25672043011
2002-04-01,28529.28402777778
2002-05-01,28073.65322580645
2002-06-01,33585.919444444444
2002-07-01,38041.896505376346
2002-08-01,38014.021505376346
2002-09-01,31281.468055555557
2002-10-01,28827.24059139785
2002-11-01,29418.24027777778
2002-12-01,32563.03494623656
2003-01-01,34985.219086021505
2003-02-01,34042.19196428572
2003-03-01,30193.43682795699
2003-04-01,28311.95902777778
2003-05-01,27189.53360215054
2003-06-01,31616.305555555555
2003-07-01,36420.18279569892
2003-08-01,37186.466397849465
2003-09-01,30570.106944444444
2003-10-01,28081.975806451614
2003-11-01,28912.841666666667
2003-12-01,32838.67876344086
2004-01-01,36088.57526881721
2004-02-01,33307.511494252874
2004-03-01,30276.799731182797
2004-04-01,28653.813194444443
2004-05-01,31454.125
2004-06-01,33303.998611111114
2004-07-01,35959.14919354839
2004-08-01,35679.24865591398
2004-09-01,31782.893055555556
2004-10-01,28163.15860215054
2004-11-01,29343.37777777778
2004-12-01,33079.95430107527
2005-01-01,34725.54569892473
2005-02-01,33283.52232142857
2005-03-01,32004.837365591397
2005-04-01,28142.152777777777
2005-05-01,27682.779569892475
2005-06-01,36175.305555555555
2005-07-01,39358.09946236559
2005-08-01,40057.64247311828
2005-09-01,34285.993055555555
2005-10-01,29326.002016129034
2005-11-01,29942.49027777778
2005-12-01,34562.3064516129
2006-01-01,32621.391129032258
2006-02-01,33514.64880952381
2006-03-01,31103.672043010753
2006-04-01,27700.949305555554
2006-05-01,29009.99327956989
2006-06-01,34421.73333333333
2006-07-01,40095.67607526882
2006-08-01,38925.32123655914
2006-09-01,30263.61527777778
2006-10-01,29264.543010752688
2006-11-01,29905.61111111111
2006-12-01,31928.129032258064
2007-01-01,33580.62768817204
2007-02-01,36838.474702380954
2007-03-01,31841.639784946237
2007-04-01,29737.077777777777
2007-05-01,30355.95564516129
2007-06-01,35303.740277777775
2007-07-01,37408.17741935484
2007-08-01,38665.840053763444
2007-09-01,33628.958333333336
2007-10-01,31061.907258064515
2007-11-01,31022.644444444446
2007-12-01,34050.19758064516
2008-01-01,34612.0
2008-02-01,34400.206896551725
2008-03-01,31218.217741935485
2008-04-01,28970.88472222222
2008-05-01,28625.077956989247
2008-06-01,36696.58194444444
2008-07-01,39288.77553763441
2008-08-01,35076.19086021505
2008-09-01,32630.39861111111
2008-10-01,29099.537634408603
2008-11-01,30801.914583333335
2008-12-01,33725.54973118279
2009-01-01,36350.61693548387
2009-02-01,33417.15922619047
2009-03-01,30777.18682795699
2009-04-01,28750.9875
2009-05-01,28409.635752688173
2009-06-01,31735.554166666665
2009-07-01,34505.17204301075
2009-08-01,37529.45161290323
2009-09-01,29716.306944444445
2009-10-01,28258.529569892475
2009-11-01,28753.710416666665
2009-12-01,33866.45161290323
2010-01-01,34990.336021505376
2010-02-01,34646.37351190476
2010-03-01,29774.44556451613
2010-04-01,27614.57361111111
2010-05-01,30021.53494623656
2010-06-01,37178.447222222225
2010-07-01,40593.94489247312
2010-08-01,37499.211021505376
2010-09-01,32472.661111111112
2010-10-01,27733.030913978495
2010-11-01,29346.775694444445
2010-12-01,35284.413978494624
2011-01-01,35533.0685483871
2011-02-01,33275.549107142855
2011-03-01,30608.831989247312
2011-04-01,28331.452777777777
2011-05-01,29591.420698924732
2011-06-01,35031.39861111111
2011-07-01,40603.403225806454
2011-08-01,35728.14919354839
2011-09-01,31936.68888888889
2011-10-01,27773.427419354837
2011-11-01,28641.348611111112
2011-12-01,31252.983870967742
2012-01-01,32850.909946236556
2012-02-01,31372.113505747126
2012-03-01,28197.09005376344
2012-04-01,27131.8875
2012-05-01,29644.397849462366
2012-06-01,33104.775
2012-07-01,39447.63844086022
2012-08-01,36924.841397849465
2012-09-01,30578.0125
2012-10-01,27050.850806451614
2012-11-01,29527.97847222222
2012-12-01,31252.84005376344
2013-01-01,33372.59811827957
2013-02-01,33769.51934523809
2013-03-01,31067.732526881722
2013-04-01,27443.108333333334
2013-05-01,28189.702956989247
2013-06-01,33363.60972222222
2013-07-01,39185.42204301075
2013-08-01,33554.783602150535
2013-09-01,29846.00138888889
2013-10-01,27933.43682795699
2013-11-01,29914.59375
2013-12-01,32812.844086021505
2014-01-01,36688.55376344086
2014-02-01,34801.150297619046
2014-03-01,32349.894489247312
2014-04-01,27300.355555555554
2014-05-01,27235.440860215054
2014-06-01,32735.425
2014-07-01,35368.55241935484
2014-08-01,32686.147849462366
2014-09-01,30343.295833333334
2014-10-01,26913.254032258064
2014-11-01,29809.525
2014-12-01,31859.78494623656
2015-01-01,35347.87634408602
2015-02-01,37584.837797619046
2015-03-01,31898.565188172044
2015-04-01,26698.02361111111
2015-05-01,29224.90053763441
2015-06-01,33220.606944444444
2015-07-01,36437.77419354839
2015-08-01,35428.60752688172
2015-09-01,32239.588888888888
2015-10-01,26550.336021505376
2015-11-01,27489.8125
2015-12-01,28738.06989247312
2016-01-01,33398.25
2016-02-01,32491.55316091954
2016-03-01,27747.622311827956
2016-04-01,26659.88888888889
2016-05-01,27529.52688172043
2016-06-01,32454.066666666666
2016-07-01,38088.61424731183
2016-08-01,38938.8373655914
2016-09-01,32194.755555555555
2016-10-01,26566.708333333332
2016-11-01,27772.410416666666
2016-12-01,32083.677419354837
2017-01-01,32119.165322580644
2017-02-01,30294.88839285714
2017-03-01,30301.229166666668
2017-04-01,26314.458333333332
2017-05-01,26983.52553763441
2017-06-01,32858.64861111111
2017-07-01,36494.32258064516
2017-08-01,33460.41129032258
2017-09-01,29974.130555555555
2017-10-01,27268.16935483871
2017-11-01,28639.804166666665
2017-12-01,32924.7688172043
2018-01-01,35490.663978494624
2018-02-01,31193.104166666668
2018-03-01,30433.845430107525
2018-04-01,27353.266666666666
2018-05-01,28599.951612903227
2018-06-01,32014.469444444443
2018-07-01,36696.7379032258
2018-08-01,39331.795918367345
