Datetime,PJME_MW
2002-01-01,30056.939786938397
2002-04-01,30041.091804029304
2002-07-01,35828.016304347824
2002-10-01,30278.758152173912
2003-01-01,33041.330092592594
2003-04-01,29018.93933150183
2003-07-01,34770.75362318841
2003-10-01,29955.712409420288
2004-01-01,33222.466575091574
2004-04-01,31140.793727106226
2004-07-01,34503.01222826087
2004-10-01,30204.759057971016
2005-01-01,33339.78333333333
2005-04-01,30633.95512820513
2005-07-01,37939.86730072464
2005-10-01,31291.437726449276
2006-01-01,32376.52361111111
2006-04-01,30362.53044871795
2006-07-01,36495.21059782609
2006-10-01,30371.09963768116
2007-01-01,33995.19537037037
2007-04-01,31783.067765567765
2007-07-01,36599.60099637681
2007-10-01,32056.028079710144
2008-01-01,33388.381868131866
2008-04-01,31400.015567765568
2008-07-01,35698.10778985507
2008-10-01,31213.425498188404
2009-01-01,33518.248611111114
2009-04-01,29618.625915750916
2009-07-01,33962.63632246377
2009-10-01,30309.627490942028
2010-01-01,33086.74097222222
2010-04-01,31587.452838827838
2010-07-01,36902.909420289856
2010-10-01,30803.739809782608
2011-01-01,33134.60324074074
2011-04-01,30969.44597069597
2011-07-01,36134.552083333336
2011-10-01,29228.904438405796
2012-01-01,30794.27793040293
2012-04-01,29956.88141025641
2012-07-01,35705.296195652176
2012-10-01,29274.497509057972
2013-01-01,32702.186574074072
2013-04-01,29649.25641025641
2013-07-01,34242.678442028984
2013-10-01,30223.614356884056
2014-01-01,34606.93449074074
2014-04-01,29070.022893772893
2014-07-01,32826.028079710144
2014-10-01,29524.45606884058
2015-01-01,34855.72384259259
2015-04-01,29709.13003663004
2015-07-01,34728.75543478261
2015-10-01,27593.858242753624
2016-01-01,31184.36355311355
2016-04-01,28866.30769230769
2016-07-01,36453.192028985504
2016-10-01,28818.850769927536
2017-01-01,30925.43449074074
2017-04-01,28699.80769230769
2017-07-01,33345.8768115942
2017-10-01,29621.4696557971
2018-01-01,32411.852314814816
2018-04-01,29314.621794871793
2018-07-01,36859.559899117274
